question,contexts,answer,ground_truth,answer_correctness,faithfulness,answer_relevancy,context_precision
"What is the significance of cherry trees in Washington, D.C.?","[""the eagerly awaited D.C. blossoms: . The city's first cherry trees were destroyed . In 1910, 2,000 cherry trees arrived in Washington, thanks to a gift from the city of Tokyo and the advocacy of Eliza Ruhamah Scidmore, one of the first female board members of the National Geographic Society. These trees, however, were riddled with disease and were destroyed. Two years later, first lady Helen Herron Taft planted one of the first of more than 3,000 replacement trees sent from Japan. Winter's""
 'Herron Taft planted one of the first of more than 3,000 replacement trees sent from Japan. Winter\'s almost over: See the proof . The festival was launched more than 20 years later . It wasn\'t until 1935 that civic groups and the D.C. government came together to hold the first ""Cherry Blossom Festival."" That first official festival came after smaller commemorations including a three-day celebration in 1934 and a 1927 re-enactment of the original planting of the trees by a group of Washington'
 ""in 1934 and a 1927 re-enactment of the original planting of the trees by a group of Washington school children. It's not all about cherry trees . That's right, there's a Blossom Kite Festival right in the middle of the cherry blossom festivities on March 28th. The festival consists of a hot tricks showdown, learning how to make and fly kites, and there's even a kite doctor on site to repair broken kites. Two types of trees dominate . In the 1912 gift of trees to Washington, there were 12""
 ""Washington (CNN)There should be plenty of pent-up anticipation among cherry blossom fans in Washington this spring. Peak blooms are expected at the tail end of the three-week-long National Cherry Blossom Festival, which kicks off Friday and runs through April 12. The fluttering pink and white blossoms are expected to hit their peak between April 11 and April 14. Here are five things to know about the eagerly awaited D.C. blossoms: . The city's first cherry trees were destroyed . In 1910, 2,000""
 ""broken kites. Two types of trees dominate . In the 1912 gift of trees to Washington, there were 12 different varieties. Today, two varieties are dominant -- Yoshino and Kwanzan. Kwanzan trees are usually found in the East Potomac Park area and produce pink blossoms. The Yoshino, which produce white blossoms, are closer to the northern part of the Tidal Basin near the Washington Monument. Descendants of the original trees live in Japan . In 2011, about 120 trees propagated from D.C.'s surviving""]","The cherry trees in Washington, D.C., symbolize the enduring friendship between the United States and Japan, originating from a gift of 3,000 trees in 1912. They are central to the annual National Cherry Blossom Festival, which celebrates their blooming and attracts numerous visitors. The trees also represent historical and cultural connections, with descendants of the original trees still thriving in Japan.","Cherry trees hold great significance in Washington, D.C. as they are a symbol of the friendship between the United States and Japan. The gift of cherry trees from Japan to Washington, D.C. in 1912 has led to the annual National Cherry Blossom Festival, which attracts millions of visitors each year. The cherry blossoms also represent the arrival of spring and are a beautiful sight for locals and tourists alike.",0.6866336247590816,1.0,0.9644715242550327,0.99999999998
What is one of the events that Hillary Clinton will be participating in during the month of March that involves a paid appearance?,"[""(CNN)After a handful events in two months, Hillary Clinton has filled her March with a mix of women's events, nonprofit speeches and at least one paid appearance. In January and February, Clinton headlined three events -- only one of which was in the United States. But as Clinton moves closer to her expected 2016 presidential campaign announcement, the former secretary or state has at least seven events scheduled for the month of March. Most of Clinton's events are focused on one thing: women.""
 ""events scheduled for the month of March. Most of Clinton's events are focused on one thing: women. Clinton starts her month by headlining the 30th anniversary gala for Emily's List -- a pro-Clinton organization that focused on helping Democratic women win elected office. At the D.C. speech on March 3, Clinton is expected to give a nod to the group's importance to Democrats and highlight the reason more women are needed in politics. Emily's List has been energized by Clinton's campaign and has""
 'in the economy and politics. The following day -- on March 10 -- Clinton will headline the United Nation\'s Women Empowerment Principles annual gathering in New York. Clinton will use the speech to outline the findings in the Clinton Foundation report and ""reflect on progress made in implementing the agenda set in Beijing two decades ago,"" the organizers said in a release about the event. On March 16, Clinton will be inducted into the Irish America Hall of Fame at an event in New York. Clinton'
 'Camp Association, NY & NJ Conference. Susie Lupert, the group\'s executive director, tells CNN, ""Yes, just like most nonprofits and conferences, she is being paid for her appearance."" But she would not confirm how much she is being paid. On average, Clinton makes between $200,000 and $300,000 per speech. Near the end of the month, on March 23 in Washington, D.C., Clinton will be the keynote speaker at the award celebration for the Toner Prize for Excellence in Political Reporting from Syracuse'
 'in pitches to women. In that speech Clinton said, ""If there is one message that echoes forth from this conference, let it be that human rights are women\'s rights and women\'s rights are human rights once and for all."" On March 9, Clinton teams up with Chelsea, her daughter, and Melinda Gates to release a report through the Clinton Foundation that looks at ""the gaps that still remain"" in women\'s participation in the economy and politics. The following day -- on March 10 -- Clinton will headline']","Hillary Clinton will be participating in the NY & NJ Camp Association Conference, which involves a paid appearance.","Hillary Clinton will be participating in the American Camp Association, NY & NJ Conference in Atlantic City on March 19, which is a paid appearance.",0.7426429926750251,1.0,0.8997713632863725,0.99999999998
What role did the United States-led coalition play in the fight against ISIS according to King Abdullah II of Jordan?,"['past year and a half?"" Jordan has a ""responsibility to reach out to eastern Syria"" and to western Iraq where people have been ""executed in large numbers"" by ISIS, Abdullah insisted. ""So this is our war,"" he said. ""We have a moral responsibility to reach out to those Muslims to protect them and stop (ISIS) before they reach our border."" Zakaria asked Abdullah what he thinks about the perception some have that Syrian President Bashar al-Assad is interested in combating ISIS, meaning al-Assad and'
 ""more than a month, al-Kasasbeh's family, hailing from a high-ranking tribe considered especially loyal to Jordan's royal family, implored ISIS to let him go. Hope that he could be spared ended in early February when a video emerged showing the 29-year-old pilot in a cage, being burned alive. King Abdullah II, an instrumental supporter of the global coalition, then said Jordan would be relentless in retaliating against ISIS. The country unleashed airstrikes. To Zakaria, Abdullah reiterated his""
 'in retaliating against ISIS. The country unleashed airstrikes. To Zakaria, Abdullah reiterated his commitment to stop ISIS. He called its fighters ""outlaws"" who twist Islam and use ""intimidation"" as their biggest weapon. The King told Zakaria that he didn\'t watch the video of the pilot\'s slaying. ""I -- many of us refused to see what I think is propaganda,"" Abdullah said. He felt ""disgust, sadness for the family"" and his ""heart went out to the father, the mother, the brothers, the sisters,"" the'
 ""(CNN)In his first interview since Islamic State militants burned alive a Jordanian pilot, the King of Jordan spoke to CNN's Fareed Zakaria about why and how the country is going after the terror group. Last December, ISIS captured Royal Jordanian Air Force pilot Moath al-Kasasbeh after his plane went down during airstrikes that were part of the United States-led coalition to defeat the group. For more than a month, al-Kasasbeh's family, hailing from a high-ranking tribe considered especially""
 'to ISIS members as Islamic extremists because their actions are not Islamic. ""I think he is right,"" Abdullah said. ""This is something that has to be understood on a much larger platform. (ISIS) is looking for legitimacy (that) they have inside of Islam."" ""I\'m a Muslim,"" the King said. ""These people (ISIS members) ... are on the fringe of Islam."" ""The barbarity with the way they executed our brave hero (the pilot), I think, shocked the Muslim world, especially Jordanians and people from this'
 'saying that airstrikes have continued. ""There are continued operations going on in Syria. We are coordinating with our friends in Iraq."" He said there is a ""long-term approach"" to fighting ISIS but didn\'t give any more details. The war against ISIS is as much Jordan\'s war as that of any other country in the coalition, he said. ""It is our war. It has been for a long time,"" he said. ""These are outlaws, in a way, of Islam, the minute they set up this irresponsible caliphate to try to expand their'
 'try to intimidate Jordanians ... just (has) the reverse effect,"" Abdullah said. ""If you look at our history, we\'re a country that\'s used to being outgunned and outnumbered. We\'ve always punched way above our weight. I think, if anything, Daesh has us as a tiger by the tail."" The pilot\'s killing ""just motivated Jordanians to rally around the flag,"" he said. ""The gloves have come off."" ISIS is ""always trying to intimidate, scare, put fear in people\'s hearts,"" the King told Zakaria. ""They are']","According to King Abdullah II of Jordan, the United States-led coalition played a significant role in the fight against ISIS by conducting airstrikes, which included the mission during which Royal Jordanian Air Force pilot Moath al-Kasasbeh was captured. Jordan coordinated with coalition partners, including operations in Syria and Iraq, as part of a long-term approach to combat ISIS.",The United States-led coalition played a role in the fight against ISIS by conducting airstrikes in support of Jordan and other countries. King Abdullah II mentioned that Jordan coordinated with their friends in Iraq and that there is a long-term approach to fighting ISIS.,0.6900334310905829,0.6666666666666666,0.9999999999999997,0.9999999999857143
"What can viewers expect from the season finale of ""The Walking Dead""?","['(CNN)Have Rick and his fellow survivors finally found a place they can settle in for the long term? That was the question left still unanswered at the end of Sunday night\'s season finale of ""The Walking Dead,"" and a finale record 15.8 million viewers tuned in to find out the answer. Rick was back in ""Ricktatorship"" mode, telling the residents of Alexandria that he knew what it took to survive and they should follow him. That led up to one of many moments where we gasped during the 90-minute'
 '(CNN)They thought they had found a paradise. They thought wrong. The resolution of the Alexandria story arc is the first of six things you should watch this week. 1. ""The Walking Dead,"" 9 p.m. ET Sunday, AMC . ""The Walking Dead\'s"" season-long plotline involving a group that headed north from Atlanta all comes to a head in a 90-minute season finale on Sunday night. It\'s been a season in which Sonequa Martin-Green\'s character, Sasha, stood out: She\'s on the verge of insanity after the deaths of'
 'late summer with season two set for 2016. An official premiere date has not yet been announced. The season five finale of the flagship series airs Sunday at 9 p.m. Read more: How ""The Walking Dead"" stumbled in its storytelling this season . ©2015 The Hollywood Reporter. All rights reserved.'
 'The first season will consist of six hourlong episodes — just like the flagship series did. The drama will premiere on AMC in the ""late summer,"" with season two set for 2016. Robert Kirkman, who created The Walking Dead comic series, co-wrote the pilot with Dave Erickson (""Sons of Anarchy""). Kirkman and Erickson exec produce alongside ""Walking Dead\'s"" Gale Anne Hurd and Dave Alpert. Erickson serves as showrunner, while Adam Davidson directed the pilot. ""Walking Dead"" VFX guru Greg Nicotero will'
 ""and they should follow him. That led up to one of many moments where we gasped during the 90-minute finale. Here are five of the biggest gaspworthy moments: . 1. Morgan is back . We've literally been looking for him all season, and Rick's old friend Morgan -- going all the way back to the first episode -- made a return appearance, wielding a stick he used to kick walker, and human, butt when necessary. And it was definitely necessary once he was captured by two men wearing W's on their heads,""
 'rant in front of the leaders of the Alexandria community, his fate and that of his fellow survivors hangs in the balance. ""There\'s gonna be all the twists and turns you would expect and twists and turns you did not expect,"" Martin-Green said of the episode. ""The finale is probably the most jam-packed episode there\'s ever been. Things are packed into it like sardines. All of the life is squeezed in there. They lengthened it to 90 minutes because there\'s just so much. It\'s a supersized'
 ""them. We rarely believe what we hear when there are rumors that Daryl might die, but that was a close one. 3. Carol and her casserole . Melissa McBride continues to steal scenes left and right lately, and her threatening of Pete while lending him a casserole may be one of the best scenes in the series' history so far. 4. Glenn gets shot . We seriously thought Glenn was a goner after a vengeful Nicholas shot him, then left him for a large group of walkers to attack. Somehow, Glenn survived and""]","Viewers can expect a 90-minute, action-packed episode with numerous twists and turns. Key moments include the return of Morgan, Carol's intense confrontation with Pete, and Glenn's near-death experience. The episode is described as the most jam-packed of the series, with significant developments for the characters.","The season finale of ""The Walking Dead"" is expected to be a jam-packed episode filled with twists and turns. It has been extended to 90 minutes due to the amount of content packed into it. Viewers can expect a supersized monstrosity of an episode that will go down as one of the best in the show's history.",0.5924843216667883,1.0,0.9336378807061892,0.7961904761745524
What is the significance of the Tunisian jihadist in relation to the terrorist attack at the Bardo Museum?,"['the prestigious Bardo Museum in central Tunis, the country\'s tourism industry is once again facing jeopardy even as authorities and operators scramble to ensure the safety of visitors currently in the country. A significant number of foreign tourists were inside the museum at the time of the attack, which government officials said was the work of ""Islamists."" Prime Minister Habib Essid said Polish, Italian, German and Spanish tourists are among those killed, with another 20 tourists plus two'
 ""(CNN)Wednesday's terrorist attack, which killed 23 people, hit Tunisia where it hurt by targeting its flourishing tourism industry. The deadly attack on the prominent Bardo Museum near Tunisia's parliament in the country's capital, Tunis, is the latest instance of an armed assault carried out by gunmen willing to fight to the death, a tactic that has been widely adopted by jihadist terrorists in recent years, including in North Africa. Such attacks mimic the 2008 Mumbai assaults in which 10""
 'group. His post comes after an ISIS fighter in the extremist group\'s stronghold of Raqqa in Syria recently appeared in a video questioning why militants in Tunisia had not pledged fealty. ""This raises the possibility that the museum attack could be ISIS\' debut on the Tunisian stage, timed to precede a pledge of allegiance from Tunisian jihadis for maximum impact,"" CNN terrorism analyst Paul Cruickshank said. The attack may have been in and about Tunisia, but the vast majority of the victims'
 ""London (CNN)Tunisia's ultra-radical fringe has come back to bite a government born out of the most successful experiment in constitutional reform to emerge from the 2011 Arab Spring revolutions. Wednesday's attack on the Bardo Museum in Tunis was grimly predictable, coming from what the Tunisian Interior Ministry calls a violent ultra-radical Islamist fringe forced underground -- but not crushed -- by security services. Jihadist firebrands representing thousands of active militants at home and""
 'the Bardo Museum. Protesters held banners that said ""We are not afraid"" and ""Je suis Bardo"" as they chanted ""Tunisia is free, and out with terrorism."" On March 18, the art, culture and history museum was the site of a drastically different scene, as gunmen opened fire on tourists in a siege that also forced the evacuation of the neighboring Parliament. ISIS claimed responsibility for the attack in an audio message posted online the next day. Hours before Sunday\'s demonstration began, Tunisia\'s'
 ""(CNN)The attack on Tunisia's famed Bardo Museum is just the latest evidence that parts of North and sub-Saharan Africa have become a magnet for Islamist extremism. Tunisia -- lying just across the Mediterranean from Europe, but bordered on one side by Libya and on the other by Algeria -- has until now not suffered the kind of large-scale terror attacks seen in both those nations in recent years. But it has emerged as a place of increasing concern as the threat of Islamist extremism has""
 'This is a sobering finding for Tunisia, which had been largely immune from the kinds of terrorist attacks that have recently plagued Libya and other North African countries. While the museum attack in Tunisia and the hotel attack in Libya may help terrorist groups to achieve their strategic goals, more often than not, armed assaults by terrorists against so-called soft targets such as hotels, supermarkets and malls do not achieve much beyond the tactical successes of global news coverage and']","The significance of the Tunisian jihadist in relation to the terrorist attack at the Bardo Museum is that the attack may have been ISIS' debut in Tunisia, potentially timed to precede a pledge of allegiance from Tunisian jihadis for maximum impact. This suggests that the attack was not only aimed at harming Tunisia's tourism industry but also at establishing ISIS' presence and influence in the country.","The significance of the Tunisian jihadist in relation to the terrorist attack at the Bardo Museum is that he had tweeted about a pledge of allegiance to Abu Bakr al-Baghdadi, the leader of ISIS, which was coming soon. This suggests that the attack could be ISIS' debut in Tunisia and was timed to precede a pledge of allegiance from Tunisian jihadis for maximum impact.",0.6166302940970797,0.2,1.0000000000000007,0.9999999999857143
How did the undercover FBI informant play a role in the arrest of the Army National Guard member and his cousin for allegedly conspiring to provide material support to ISIS?,"[""(CNN)An Army National Guard member and his cousin have been arrested in Illinois for allegedly conspiring to provide material support to the terrorist organization ISIS, federal prosecutors said Thursday. The alleged plot included a plan to attack a U.S. military installation in Illinois. In the past 18 months, the Justice Department's National Security Division has prosecuted or is prosecuting 32 cases of people attempting to travel abroad to join or providing support to terrorist groups. Of""
 'of conspiring to provide material support and resources to a foreign terrorist organization. The cousins made an initial appearance Thursday afternoon before U.S. Magistrate Judge Sheila Finnegan. Why is ISIS so successful at luring Westerners? After an undercover FBI informant posing as an ISIS fighter outside the United States sent Hasan Edmonds a Facebook ""friend"" request in late 2014, he began to receive private messages from him indicating that he and his cousin were willing to travel to'
 'depart Wednesday from Chicago and arrive in Cairo on Thursday. The cousins presented an undercover informant with plans to attacks the military facility, prosecutors said. Who has been recruited to ISIS from the West? ""Disturbingly, one of the defendants currently wears the same uniform of those they allegedly planned to attack,"" Carlin said in the statement. Conspiring to provide material support to a foreign terrorist organization carries a maximum penalty of 15 years in prison and a $250,000'
 'media accounts, online phone directories and other accessible public records. In late November, the FBI issued a warning to U.S. military members that ISIS was calling for attacks against them, a law enforcement source told CNN. The source said that ""overseas based individuals are looking for like-minded individuals in the U.S. to carry out these attacks."" The warning asked members of the military to ""review their online social media presence for any information that might attract the attention'
 'to join ISIS. That\'s ludicrous. They aren\'t terrorists."" A federal complaint alleges that Hasan Edmonds came to the attention of the FBI in late 2014. The complaints uses the acronym ISIL, or Islamic State of Iraq and the Levant. Hasan Edmonds planned to use his military training to fight for the terrorist organization, prosecutors said in a statement. Hasan Edmonds booked airline travel to depart Wednesday from Chicago and arrive in Cairo on Thursday. The cousins presented an undercover'
 'their passports. The 21-year-old California man was arrested last summer, but was indicted on Wednesday. The FBI said he attempted to offer himself and material support to work under the direction and control of ISIS. His arraignment is scheduled for later this month. The 17-year-old Virginia student has been charged with helping recruit for ISIS, federal law enforcement officials said Wednesday. The teen lives in a suburb of Washington and is accused of helping a slightly older adult travel to'
 'The teen lives in a suburb of Washington and is accused of helping a slightly older adult travel to Syria. The adult is believed to have joined ISIS there. The student is also accused of distributing ISIS messages. Arrested last month in New York and Florida, they are accused by the federal government of attempting to join ISIS and of fostering plans to kill the President and shoot law enforcement officers. The three men face charges that include attempting and conspiring to provide material']","The undercover FBI informant played a crucial role by posing as an ISIS fighter and sending Hasan Edmonds a Facebook ""friend"" request in late 2014. This led to private messages indicating that Hasan and his cousin were willing to travel to join ISIS. The informant also received plans from the cousins to attack a U.S. military facility, which contributed to their arrest.","The undercover FBI informant played a role in the arrest by sending a Facebook friend request to Hasan Edmonds, posing as an ISIS fighter. This led to private messages between the informant and Hasan Edmonds, where they discussed their willingness to travel overseas and fight for ISIS. The informant provided information to the authorities, which ultimately led to the arrest of Hasan Edmonds and his cousin.",0.8091128253715165,0.5,0.8314525668321506,0.9999999999857143
How does the new Red brand aim to leverage Radisson's brand awareness?,"['which is hueing (sic) toward Red and Blu. Blu came about in 2009, after airline SAS withdrew from a partnership with Radisson. After the split, Radisson SAS, a collection of European design hotels, needed a new name. ""We wanted to replace SAS with an equally short name,"" says Rose Anderson, vice president of branding for the Carlson Rezidor Hotel Group. ""We liked using blue from the old SAS logo, because it brought in the heritage of the former brand. ""At the same time, we were looking for a'
 'because it brought in the heritage of the former brand. ""At the same time, we were looking for a word with positive worldwide connotations ... and blue is the world\'s favorite color."" So blue or bleu became Blu, a trademarkable spelling. Carlson Rezidor recently announced a new Red brand that will, according to Anderson, ""build on the Blu concept and further leverage Radisson\'s brand awareness."" New brands are also being dubbed with what may seem to be random nouns. But there\'s nothing random'
 'Design, a branding firm brought in to hone the name and the image. Hence Vib, which is derived from ""vibrant."" Color also plays a big part in hotel branding. ""We incorporated a bright persimmon red in the design and the logo, in order to reflect the (Vib) brand\'s bold personality,"" says Lew. Moxy, the new Marriott partnership with IKEA, is going after ""a sassy, determined, individualistic consumer,"" according to Marriott\'s Von Ertfelda. The first Moxy opened at Milan\'s Malpensa Airport in'
 'had to be \'ownable and trademarkable.\'"" The change of spelling from moxie to Moxy achieved that. According to Von Ertfelda, senior creative director Maria Rezende-Heiston selected hot pink for the Moxy logo to ""appeal to those who aren\'t afraid to express themselves"" while using a ""curved font to convey a sense of rhythm, fluidity and independence."" Color is also key to hotel operator Carlson Rezidor, which is hueing (sic) toward Red and Blu. Blu came about in 2009, after airline SAS withdrew'
 'Whenever"" tagline to the simple W logo. Cornell\'s Dev says Starwood further imbued the brand with meaning by using words like witty, warm and welcoming in its advertising and marketing material. More than 15 years later, the W Hotel brand has more than 70 properties open or in development worldwide. Journalist Laura Powell started covering the travel industry for CNN in the 1980s. Her focus is on  international travel news and trends. Read more of her work at www.dailysuitcase.com. Twitter:'
 ""New brands are also being dubbed with what may seem to be random nouns. But there's nothing random about them. Last year, InterContinental Hotels Group (IHG) rolled out EVEN, a new brand cultivated for the growing wellness-minded audience, with two properties in the United States. EVEN expresses the desire for the balance travelers are seeking, says an IHG spokesperson. In its logo, specific colors were chosen to represent elements of nature. The four vertical bars of the logo are off-kilter,""]",The new Red brand aims to leverage Radisson's brand awareness by building on the Blu concept. This strategy involves using the established recognition and positive associations of the Radisson brand to promote and develop the new Red brand.,The new Red brand aims to leverage Radisson's brand awareness by building on the Blu concept and further leveraging Radisson's brand awareness.,0.808098403507282,1.0,0.9527602484489356,0.99999999995
When are the peak blooms expected during the National Cherry Blossom Festival in Washington?,"[""Washington (CNN)There should be plenty of pent-up anticipation among cherry blossom fans in Washington this spring. Peak blooms are expected at the tail end of the three-week-long National Cherry Blossom Festival, which kicks off Friday and runs through April 12. The fluttering pink and white blossoms are expected to hit their peak between April 11 and April 14. Here are five things to know about the eagerly awaited D.C. blossoms: . The city's first cherry trees were destroyed . In 1910, 2,000""
 ""in 1934 and a 1927 re-enactment of the original planting of the trees by a group of Washington school children. It's not all about cherry trees . That's right, there's a Blossom Kite Festival right in the middle of the cherry blossom festivities on March 28th. The festival consists of a hot tricks showdown, learning how to make and fly kites, and there's even a kite doctor on site to repair broken kites. Two types of trees dominate . In the 1912 gift of trees to Washington, there were 12""
 'Herron Taft planted one of the first of more than 3,000 replacement trees sent from Japan. Winter\'s almost over: See the proof . The festival was launched more than 20 years later . It wasn\'t until 1935 that civic groups and the D.C. government came together to hold the first ""Cherry Blossom Festival."" That first official festival came after smaller commemorations including a three-day celebration in 1934 and a 1927 re-enactment of the original planting of the trees by a group of Washington'
 ""the eagerly awaited D.C. blossoms: . The city's first cherry trees were destroyed . In 1910, 2,000 cherry trees arrived in Washington, thanks to a gift from the city of Tokyo and the advocacy of Eliza Ruhamah Scidmore, one of the first female board members of the National Geographic Society. These trees, however, were riddled with disease and were destroyed. Two years later, first lady Helen Herron Taft planted one of the first of more than 3,000 replacement trees sent from Japan. Winter's""
 ""broken kites. Two types of trees dominate . In the 1912 gift of trees to Washington, there were 12 different varieties. Today, two varieties are dominant -- Yoshino and Kwanzan. Kwanzan trees are usually found in the East Potomac Park area and produce pink blossoms. The Yoshino, which produce white blossoms, are closer to the northern part of the Tidal Basin near the Washington Monument. Descendants of the original trees live in Japan . In 2011, about 120 trees propagated from D.C.'s surviving""]",The peak blooms are expected between April 11 and April 14 during the National Cherry Blossom Festival in Washington.,The peak blooms are expected between April 11 and April 14.,0.7362708633230685,1.0,1.0,0.9999999999
What is Zhanna Nemtsova's opinion on the Russian investigation into her father's assassination?,"['Nemtsov had also been arrested several times for speaking against the government. In her first TV interview since her father\'s death, Nemtsova told CNN that Putin shares ""political responsibility"" for her father\'s assassination. She spoke from Germany. ""I don\'t believe in the official investigation,"" she said Saturday. Other opposition figures previously jailed or killed include Anna Politkovskaya, a journalist critical of Russia\'s war in Chechnya. She was gunned down at the entrance to her'
 'Moscow (CNN)Russia\'s president shares ""political responsibility"" for the assassination of opposition leader Boris Nemtsov, the late politician\'s daughter said Friday in her first TV interview since his death in central Moscow last week. Zhanna Nemtsova, who said she has no faith in the Russian investigation into the killing, said she believes his death will only deter other opposition voices, rather than embolden them. ""I cannot blame him (Putin) directly, (but) I would say that our authorities,'
 'but many Nemtsov supporters suspect Putin\'s administration of involvement. How Boris Nemtsov\'s murder serves notice to Vladimir Putin\'s enemies . Putin this week called the killing a ""disgrace"" and a tragedy, and he promised to bring those responsible to justice. But Nemtsova, 30, said she does not believe that will happen. She said investigators have not contacted her and she knows nothing of the case except what is in the media. ""I don\'t know where his cellphone and his personal belongings'
 'of Malgobek and the village of Voznesenovskaya, while Dadayev was arrested in the city of Magas, Barakhayev told TASS. The slain opposition leader\'s daughter, Zhanna Nemtsova, told CNN she is ""not surprised both of them (are) of Caucasus origin. It was predictable."" Nemtsova said the only things she knew about the arrests came from media reports, as authorities did not contact her immediately. Later Saturday, a southern Russian law enforcement official told state news agency RIA Novosti that'
 'the case except what is in the media. ""I don\'t know where his cellphone and his personal belongings are, so I know only those things which are released or published in the press and nothing else, nothing else,"" she told CNN from Germany, where she is staying for a few days. ""As I have already said, I don\'t have any faith in this investigation."" Nemtsova said she loved her father ""more than anyone else in my life"" and that the two were very close. ""I think that he died a hero,"" she said. ""He was'
 'said Yevhen Perebyinis, a spokesman for Ukraine\'s Foreign Ministry. Inna Duritskaya told CNN that while being questioned, her daughter faced constant psychological pressure from Moscow authorities and that she fears she will be implicated in his death. In a Skype interview with Dozhd, Anna Duritskaya indicated her continued presence in Moscow after the shooting was not from choice -- and seemed to appeal to be allowed to leave. ""Now I have a status of a witness, I gave all evidence possible, I'
 ""were convicted of killing journalist Anna Politkovskaya, for example, but there still is no explanation of why they did it or who organized the murder. Now, with Nemtsov's killing, Russian officials and Kremlin-friendly media have whipped up a sandstorm of theories, confounding the most intrepid attempts at establishing the truth. Will things play out any differently this time?""]",Zhanna Nemtsova has no faith in the Russian investigation into her father's assassination. She believes the authorities are not genuinely pursuing justice and suspects political motives behind the investigation. She only knows details about the case from media reports and has not been contacted by investigators.,Zhanna Nemtsova said she has no faith in the Russian investigation into the killing.,0.48425807299268453,0.6,0.99490739904978,0.9999999999857143
Who was one of Putin's harshest critics?,"['be heading an opposition party and do what I\'m doing."" Opinion: The complicated life and tragic death of Boris Nemtsov . Critics of Putin have in the past suffered miserable fates. Last year, a Moscow court sentenced five men to prison for the 2006 killing of Russian journalist and fierce Kremlin critic Anna Politkovskaya. Business magnate Mikhail Khodorkovsky accused Putin of corruption and spent 10 years in prison and labor camps. Late last year, Kremlin critic Alexey Navalny was found guilty'
 ""look at some cases of outspoken critics of Putin's government who've ended up in exile, under house arrest, behind bars or dead. The business magnate backed an opposition party and accused Putin of corruption. He spent more than 10 years behind bars on charges of tax evasion and fraud. In statements to CNN, Khodorkovsky said his prosecution was part of a Kremlin campaign to destroy him and take control of Yukos, the oil company he built from privatization deals in the 1990s. The Kremlin denied""
 ""(CNN)Slain Russian opposition leader Boris Nemtsov isn't the first critic of President Vladimir Putin to turn up dead. Some Putin opponents claim it isn't a coincidence that critics of the powerful leader and his government have been killed or landed behind bars. But the Kremlin has staunchly denied accusations that it's targeting political opponents or had anything to do with the deaths. Here's a look at some cases of outspoken critics of Putin's government who've ended up in exile, under house""
 ""a journalist critical of Russia's war in Chechnya. She was gunned down at the entrance to her Moscow apartment in 2006. There was also business magnate Mikhail Khodorkovsky, who backed an opposition party and accused Putin of corruption. Khodorkovsky landed in jail after a conviction on tax fraud, which he said was a ploy to take away his oil company. The government rejected the claim. Putin pardoned him in 2013. Former Russian security agent Alexander Litvinenko was poisoned by a lethal dose""
 'Other critics of Putin who ended up dead . Putin has a history of viciously attacking the most important person in any given group of enemies, in order to send a message to the rest of them. In 2003, he did this by arresting and imprisoning the richest oligarch in the country, Mikhail Khodorkovsky. When Khodorkovsky was put on trial in 2004, Putin allowed the television cameras film the wealthiest man in the country sitting in a cage. Imagine that you were the 17th richest man in Russia, and'
 'with the Republican Party of Russia-Party of People\'s Freedom, a liberal opposition group. He served as deputy prime minister in the late 1990s under President Boris Yeltsin. Early in his career, he was governor of Nizhniy Novgorod, a major economic hub. ""I think that now, Russia has crossed the line after this murder, and people will be frightened to express their ideas which contradict ... the official standpoint,"" Nemtsova said. CNN\'s Matthew Chance reported from Moscow. CNN\'s Melissa Gray'
 ""shooting Putin blamed extremists and protesters who he said were trying to stir internal strife in Russia. Many opposition sympathizers and people close to Nemtsov have pointed the finger at Putin and the Russian government he leads. They note that Nemtsov -- the deputy prime minister under former President Boris Yeltsin -- is the latest in a list of Putin's opponents who have been killed or imprisoned. Nemtsov had also been arrested several times for speaking against the government. In her""
 'at the Kremlin\'s current policies on Ukraine. Other prominent Russian figures at the service included Deputy Prime Minister Arkady Dvorkovich, Prime Minister Dmitry Medvedev\'s spokeswoman Natalya Timakova, and former Finance Minister Alexey Kudrin. Russian economist Yevgeny Yasin, who served as economy minister between 1994 and 1997 and is now an academic, said: ""Nemtsov always said everything that others were afraid to say."" Evgeniya Albats, editor-in-chief of The New Times magazine, described'
 ""But many Russians I've spoken to since the killing are, in fact, very afraid. And while the hope among opposition activists is that Nemtsov's killing may at least invigorate their ranks, one very real possibility is that it will do the exact opposite: further silence an already very quiet minority opposed to the rule of Vladimir Putin.""
 ""Moscow (CNN)Ever since Vladimir Putin came to power, there have been killings of politicians, of human rights activists, of journalists. Boris Nemtsov, one of Russia's most prominent opposition figures, is only the latest victim. The key thing all these crimes have in common is that none of them get properly resolved. Of course, the Kremlin will issue condemnation and condolences, as it has done over the assassination of Nemtsov. But the killers and the people who ordered the killings don't""]",One of Putin's harshest critics was Boris Nemtsov.,Boris Nemtsov,0.22962419743133142,1.0,1.0000000000000002,0.9060405643638305
