question,contexts,answer,ground_truth,answer_correctness,faithfulness,answer_relevancy,context_precision
"What is the significance of cherry trees in Washington, D.C.?","[""the eagerly awaited D.C. blossoms: . The city's first cherry trees were destroyed . In 1910, 2,000 cherry trees arrived in Washington, thanks to a gift from the city of Tokyo and the advocacy of Eliza Ruhamah Scidmore, one of the first female board members of the National Geographic Society. These trees, however, were riddled with disease and were destroyed. Two years later, first lady Helen Herron Taft planted one of the first of more than 3,000 replacement trees sent from Japan. Winter's""
 'Herron Taft planted one of the first of more than 3,000 replacement trees sent from Japan. Winter\'s almost over: See the proof . The festival was launched more than 20 years later . It wasn\'t until 1935 that civic groups and the D.C. government came together to hold the first ""Cherry Blossom Festival."" That first official festival came after smaller commemorations including a three-day celebration in 1934 and a 1927 re-enactment of the original planting of the trees by a group of Washington'
 ""in 1934 and a 1927 re-enactment of the original planting of the trees by a group of Washington school children. It's not all about cherry trees . That's right, there's a Blossom Kite Festival right in the middle of the cherry blossom festivities on March 28th. The festival consists of a hot tricks showdown, learning how to make and fly kites, and there's even a kite doctor on site to repair broken kites. Two types of trees dominate . In the 1912 gift of trees to Washington, there were 12""
 ""Washington (CNN)There should be plenty of pent-up anticipation among cherry blossom fans in Washington this spring. Peak blooms are expected at the tail end of the three-week-long National Cherry Blossom Festival, which kicks off Friday and runs through April 12. The fluttering pink and white blossoms are expected to hit their peak between April 11 and April 14. Here are five things to know about the eagerly awaited D.C. blossoms: . The city's first cherry trees were destroyed . In 1910, 2,000""
 ""broken kites. Two types of trees dominate . In the 1912 gift of trees to Washington, there were 12 different varieties. Today, two varieties are dominant -- Yoshino and Kwanzan. Kwanzan trees are usually found in the East Potomac Park area and produce pink blossoms. The Yoshino, which produce white blossoms, are closer to the northern part of the Tidal Basin near the Washington Monument. Descendants of the original trees live in Japan . In 2011, about 120 trees propagated from D.C.'s surviving""]","The cherry trees in Washington, D.C., are significant as a symbol of friendship between Japan and the United States, originating from a 1912 gift of over 3,000 trees from Japan. They are central to the annual National Cherry Blossom Festival, which celebrates the arrival of spring and attracts numerous visitors. The festival includes various events, such as the Blossom Kite Festival, and highlights the beauty of the Yoshino and Kwanzan cherry tree varieties.","Cherry trees hold great significance in Washington, D.C. as they are a symbol of the friendship between the United States and Japan. The gift of cherry trees from Japan to Washington, D.C. in 1912 has led to the annual National Cherry Blossom Festival, which attracts millions of visitors each year. The cherry blossoms also represent the arrival of spring and are a beautiful sight for locals and tourists alike.",0.8156413545997538,1.0,0.9883439042526176,0.99999999998
What is one of the events that Hillary Clinton will be participating in during the month of March that involves a paid appearance?,"[""(CNN)After a handful events in two months, Hillary Clinton has filled her March with a mix of women's events, nonprofit speeches and at least one paid appearance. In January and February, Clinton headlined three events -- only one of which was in the United States. But as Clinton moves closer to her expected 2016 presidential campaign announcement, the former secretary or state has at least seven events scheduled for the month of March. Most of Clinton's events are focused on one thing: women.""
 ""events scheduled for the month of March. Most of Clinton's events are focused on one thing: women. Clinton starts her month by headlining the 30th anniversary gala for Emily's List -- a pro-Clinton organization that focused on helping Democratic women win elected office. At the D.C. speech on March 3, Clinton is expected to give a nod to the group's importance to Democrats and highlight the reason more women are needed in politics. Emily's List has been energized by Clinton's campaign and has""
 'in the economy and politics. The following day -- on March 10 -- Clinton will headline the United Nation\'s Women Empowerment Principles annual gathering in New York. Clinton will use the speech to outline the findings in the Clinton Foundation report and ""reflect on progress made in implementing the agenda set in Beijing two decades ago,"" the organizers said in a release about the event. On March 16, Clinton will be inducted into the Irish America Hall of Fame at an event in New York. Clinton'
 ""own place in the workforce. In the coming weeks, which serendipitously happen to be part of Women's History Month, Hillary's speaking schedule is heavy with events and gatherings that center around women. If she's not running for president, then she could be gearing up to get a talk show on the Lifetime network. All of which stands in stark contrast to Hillary's last presidential campaign. In 2008, she seemed to think that she had to reassure voters that a woman could be president, primarily by""
 'in pitches to women. In that speech Clinton said, ""If there is one message that echoes forth from this conference, let it be that human rights are women\'s rights and women\'s rights are human rights once and for all."" On March 9, Clinton teams up with Chelsea, her daughter, and Melinda Gates to release a report through the Clinton Foundation that looks at ""the gaps that still remain"" in women\'s participation in the economy and politics. The following day -- on March 10 -- Clinton will headline'
 'Camp Association, NY & NJ Conference. Susie Lupert, the group\'s executive director, tells CNN, ""Yes, just like most nonprofits and conferences, she is being paid for her appearance."" But she would not confirm how much she is being paid. On average, Clinton makes between $200,000 and $300,000 per speech. Near the end of the month, on March 23 in Washington, D.C., Clinton will be the keynote speaker at the award celebration for the Toner Prize for Excellence in Political Reporting from Syracuse']",One of the events that Hillary Clinton will be participating in during the month of March that involves a paid appearance is not explicitly mentioned in the provided context.,"Hillary Clinton will be participating in the American Camp Association, NY & NJ Conference in Atlantic City on March 19, which is a paid appearance.",0.2234079781458802,1.0,0.0,0.9999999999833333
What role did the United States-led coalition play in the fight against ISIS according to King Abdullah II of Jordan?,"['past year and a half?"" Jordan has a ""responsibility to reach out to eastern Syria"" and to western Iraq where people have been ""executed in large numbers"" by ISIS, Abdullah insisted. ""So this is our war,"" he said. ""We have a moral responsibility to reach out to those Muslims to protect them and stop (ISIS) before they reach our border."" Zakaria asked Abdullah what he thinks about the perception some have that Syrian President Bashar al-Assad is interested in combating ISIS, meaning al-Assad and'
 'in retaliating against ISIS. The country unleashed airstrikes. To Zakaria, Abdullah reiterated his commitment to stop ISIS. He called its fighters ""outlaws"" who twist Islam and use ""intimidation"" as their biggest weapon. The King told Zakaria that he didn\'t watch the video of the pilot\'s slaying. ""I -- many of us refused to see what I think is propaganda,"" Abdullah said. He felt ""disgust, sadness for the family"" and his ""heart went out to the father, the mother, the brothers, the sisters,"" the'
 'saying that airstrikes have continued. ""There are continued operations going on in Syria. We are coordinating with our friends in Iraq."" He said there is a ""long-term approach"" to fighting ISIS but didn\'t give any more details. The war against ISIS is as much Jordan\'s war as that of any other country in the coalition, he said. ""It is our war. It has been for a long time,"" he said. ""These are outlaws, in a way, of Islam, the minute they set up this irresponsible caliphate to try to expand their'
 ""more than a month, al-Kasasbeh's family, hailing from a high-ranking tribe considered especially loyal to Jordan's royal family, implored ISIS to let him go. Hope that he could be spared ended in early February when a video emerged showing the 29-year-old pilot in a cage, being burned alive. King Abdullah II, an instrumental supporter of the global coalition, then said Jordan would be relentless in retaliating against ISIS. The country unleashed airstrikes. To Zakaria, Abdullah reiterated his""
 'try to intimidate Jordanians ... just (has) the reverse effect,"" Abdullah said. ""If you look at our history, we\'re a country that\'s used to being outgunned and outnumbered. We\'ve always punched way above our weight. I think, if anything, Daesh has us as a tiger by the tail."" The pilot\'s killing ""just motivated Jordanians to rally around the flag,"" he said. ""The gloves have come off."" ISIS is ""always trying to intimidate, scare, put fear in people\'s hearts,"" the King told Zakaria. ""They are'
 'in a way, of Islam, the minute they set up this irresponsible caliphate to try to expand their dominion over Muslims."" ISIS cannot argue that Jordan and other Muslim nations should not attack them because they\'re fellow Muslims, he said. The militants ""try to make themselves look as victims,"" he said. ""What about the hundreds if not thousands of Muslims they have killed in Syria and Iraq over the past year and a half?"" Jordan has a ""responsibility to reach out to eastern Syria"" and to western'
 'extremist group\'s quest to grow its caliphate. Iran isn\'t a part of this coalition, but it is also working to defeat ISIS -- something that\'s provoked both relief and alarm in Washington. Al-Amari is confident his men, with help from the Iraqi army and some Sunnis, can crush ISIS in Iraq without this coalition\'s help. He\'s sure because the Iranians are advising them. ""We don\'t need it, and we won\'t need it,"" he said. ""Anyone who puts their faith in the international coalition to liberate Iraq']","King Abdullah II of Jordan emphasized that the fight against ISIS is as much Jordan's war as it is that of any other country in the coalition. He highlighted the coordination with friends in Iraq and the long-term approach to combating ISIS. However, he did not provide specific details about the role of the United States-led coalition.",The United States-led coalition played a role in the fight against ISIS by conducting airstrikes in support of Jordan and other countries. King Abdullah II mentioned that Jordan coordinated with their friends in Iraq and that there is a long-term approach to fighting ISIS.,0.6498269431053086,0.75,0.0,0.9999999999857143
"What can viewers expect from the season finale of ""The Walking Dead""?","['(CNN)Have Rick and his fellow survivors finally found a place they can settle in for the long term? That was the question left still unanswered at the end of Sunday night\'s season finale of ""The Walking Dead,"" and a finale record 15.8 million viewers tuned in to find out the answer. Rick was back in ""Ricktatorship"" mode, telling the residents of Alexandria that he knew what it took to survive and they should follow him. That led up to one of many moments where we gasped during the 90-minute'
 '(CNN)They thought they had found a paradise. They thought wrong. The resolution of the Alexandria story arc is the first of six things you should watch this week. 1. ""The Walking Dead,"" 9 p.m. ET Sunday, AMC . ""The Walking Dead\'s"" season-long plotline involving a group that headed north from Atlanta all comes to a head in a 90-minute season finale on Sunday night. It\'s been a season in which Sonequa Martin-Green\'s character, Sasha, stood out: She\'s on the verge of insanity after the deaths of'
 'late summer with season two set for 2016. An official premiere date has not yet been announced. The season five finale of the flagship series airs Sunday at 9 p.m. Read more: How ""The Walking Dead"" stumbled in its storytelling this season . ©2015 The Hollywood Reporter. All rights reserved.'
 'rant in front of the leaders of the Alexandria community, his fate and that of his fellow survivors hangs in the balance. ""There\'s gonna be all the twists and turns you would expect and twists and turns you did not expect,"" Martin-Green said of the episode. ""The finale is probably the most jam-packed episode there\'s ever been. Things are packed into it like sardines. All of the life is squeezed in there. They lengthened it to 90 minutes because there\'s just so much. It\'s a supersized'
 ""them. We rarely believe what we hear when there are rumors that Daryl might die, but that was a close one. 3. Carol and her casserole . Melissa McBride continues to steal scenes left and right lately, and her threatening of Pete while lending him a casserole may be one of the best scenes in the series' history so far. 4. Glenn gets shot . We seriously thought Glenn was a goner after a vengeful Nicholas shot him, then left him for a large group of walkers to attack. Somehow, Glenn survived and""
 'The first season will consist of six hourlong episodes — just like the flagship series did. The drama will premiere on AMC in the ""late summer,"" with season two set for 2016. Robert Kirkman, who created The Walking Dead comic series, co-wrote the pilot with Dave Erickson (""Sons of Anarchy""). Kirkman and Erickson exec produce alongside ""Walking Dead\'s"" Gale Anne Hurd and Dave Alpert. Erickson serves as showrunner, while Adam Davidson directed the pilot. ""Walking Dead"" VFX guru Greg Nicotero will'
 'as showrunner, while Adam Davidson directed the pilot. ""Walking Dead"" VFX guru Greg Nicotero will also exec produce the series. While AMC has been tight-lipped on its premise, sources tell The Hollywood Reporter that the series is a prequel that takes place in Los Angeles at the onset of the zombie outbreak. AMC on Monday confirmed that the companion series is set in Los Angeles but revealed nothing more beyond that it will focus on new characters and storylines. The drama is still untitled.']","Viewers can expect a jam-packed, 90-minute episode with numerous twists and turns, both expected and unexpected. Rick's leadership and the fate of the survivors in Alexandria will be central to the plot. Additionally, significant character moments, such as Glenn's survival and Carol's confrontation with Pete, will be featured.","The season finale of ""The Walking Dead"" is expected to be a jam-packed episode filled with twists and turns. It has been extended to 90 minutes due to the amount of content packed into it. Viewers can expect a supersized monstrosity of an episode that will go down as one of the best in the show's history.",0.8635674404327118,1.0,0.9435977033396443,0.8874999999778125
What is the significance of the Tunisian jihadist in relation to the terrorist attack at the Bardo Museum?,"['the prestigious Bardo Museum in central Tunis, the country\'s tourism industry is once again facing jeopardy even as authorities and operators scramble to ensure the safety of visitors currently in the country. A significant number of foreign tourists were inside the museum at the time of the attack, which government officials said was the work of ""Islamists."" Prime Minister Habib Essid said Polish, Italian, German and Spanish tourists are among those killed, with another 20 tourists plus two'
 ""(CNN)Wednesday's terrorist attack, which killed 23 people, hit Tunisia where it hurt by targeting its flourishing tourism industry. The deadly attack on the prominent Bardo Museum near Tunisia's parliament in the country's capital, Tunis, is the latest instance of an armed assault carried out by gunmen willing to fight to the death, a tactic that has been widely adopted by jihadist terrorists in recent years, including in North Africa. Such attacks mimic the 2008 Mumbai assaults in which 10""
 ""London (CNN)Tunisia's ultra-radical fringe has come back to bite a government born out of the most successful experiment in constitutional reform to emerge from the 2011 Arab Spring revolutions. Wednesday's attack on the Bardo Museum in Tunis was grimly predictable, coming from what the Tunisian Interior Ministry calls a violent ultra-radical Islamist fringe forced underground -- but not crushed -- by security services. Jihadist firebrands representing thousands of active militants at home and""
 'the Bardo Museum. Protesters held banners that said ""We are not afraid"" and ""Je suis Bardo"" as they chanted ""Tunisia is free, and out with terrorism."" On March 18, the art, culture and history museum was the site of a drastically different scene, as gunmen opened fire on tourists in a siege that also forced the evacuation of the neighboring Parliament. ISIS claimed responsibility for the attack in an audio message posted online the next day. Hours before Sunday\'s demonstration began, Tunisia\'s'
 'U.S. Ambassador Chris Stevens and three other Americans. Such violence has been rare in Tunisia, at least on the scale of what happened Wednesday at the Bardo Museum in Tunis. Still, it is not a total shock, given that up to 3,000 Tunisians have left to fight as jihadists in Iraq and Syria, according to the International Centre for the Study of Radicalization in London, not to mention others who have joined radical groups closer to home. Already, authorities have arrested nine people in'
 'so the two gunmen who stormed into the Bardo Museum last week -- both of them in their twenties -- had been able to cross illicitly into Libya in December, according to Tunisian State Security Minister Rafik Chelly. Chelly told a Tunisian network that the pair had received weapons training in the ISIS stronghold of Derna. The mood among many Tunisians seems much harder and more pragmatic than it was four years ago. A shopkeeper in a small village between Tataouine and Remada said there needs to'
 'Tunis (CNN)Tunisian President Beji Caid Essebsi confirmed that a third person took part in last week\'s Bardo museum terror attack in an interview Sunday with French TV Station iTele. ""There were for certain three terrorists,"" Essebsi said.  ""There is one on the run. He will not get far."" Previously two suspects had been identified -- Yassine Labidi and Saber Khachnaou -- though it wasn\'t immediately clear if they were the pair killed at the museum by Tunisian security forces. He said Yassine was']","The significance of the Tunisian jihadist in relation to the terrorist attack at the Bardo Museum is that the attack was carried out by an ultra-radical Islamist fringe within Tunisia, which has been forced underground but not eliminated by security services. The attack, claimed by ISIS, may have been intended to signal the group's presence in Tunisia and to prompt local militants to pledge allegiance to ISIS. This highlights the ongoing threat posed by jihadist elements within the country.","The significance of the Tunisian jihadist in relation to the terrorist attack at the Bardo Museum is that he had tweeted about a pledge of allegiance to Abu Bakr al-Baghdadi, the leader of ISIS, which was coming soon. This suggests that the attack could be ISIS' debut in Tunisia and was timed to precede a pledge of allegiance from Tunisian jihadis for maximum impact.",0.46833046038916937,0.8,1.0000000000000007,0.9999999999857143
How did the undercover FBI informant play a role in the arrest of the Army National Guard member and his cousin for allegedly conspiring to provide material support to ISIS?,"[""(CNN)An Army National Guard member and his cousin have been arrested in Illinois for allegedly conspiring to provide material support to the terrorist organization ISIS, federal prosecutors said Thursday. The alleged plot included a plan to attack a U.S. military installation in Illinois. In the past 18 months, the Justice Department's National Security Division has prosecuted or is prosecuting 32 cases of people attempting to travel abroad to join or providing support to terrorist groups. Of""
 'of conspiring to provide material support and resources to a foreign terrorist organization. The cousins made an initial appearance Thursday afternoon before U.S. Magistrate Judge Sheila Finnegan. Why is ISIS so successful at luring Westerners? After an undercover FBI informant posing as an ISIS fighter outside the United States sent Hasan Edmonds a Facebook ""friend"" request in late 2014, he began to receive private messages from him indicating that he and his cousin were willing to travel to'
 'depart Wednesday from Chicago and arrive in Cairo on Thursday. The cousins presented an undercover informant with plans to attacks the military facility, prosecutors said. Who has been recruited to ISIS from the West? ""Disturbingly, one of the defendants currently wears the same uniform of those they allegedly planned to attack,"" Carlin said in the statement. Conspiring to provide material support to a foreign terrorist organization carries a maximum penalty of 15 years in prison and a $250,000'
 'Federal authorities accuse him of funding ISIS, trying to send jihadists to Syria to fight with the terrorist group and plotting to do some killing himself, by gunning down U.S. troops who had served in Iraq . The 30-year-old faces three counts of trying ""to provide material support to a foreign terrorist organization"" (namely, ISIS), one count of attempting to kill officers and employees of the United States, two counts of having an unregistered firearm silencer and one for possessing guns or'
 'their passports. The 21-year-old California man was arrested last summer, but was indicted on Wednesday. The FBI said he attempted to offer himself and material support to work under the direction and control of ISIS. His arraignment is scheduled for later this month. The 17-year-old Virginia student has been charged with helping recruit for ISIS, federal law enforcement officials said Wednesday. The teen lives in a suburb of Washington and is accused of helping a slightly older adult travel to'
 'The teen lives in a suburb of Washington and is accused of helping a slightly older adult travel to Syria. The adult is believed to have joined ISIS there. The student is also accused of distributing ISIS messages. Arrested last month in New York and Florida, they are accused by the federal government of attempting to join ISIS and of fostering plans to kill the President and shoot law enforcement officers. The three men face charges that include attempting and conspiring to provide material']","The undercover FBI informant played a crucial role by posing as an ISIS fighter and sending Hasan Edmonds a Facebook ""friend"" request in late 2014. This led to private messages in which Hasan and his cousin expressed their willingness to travel to join ISIS and presented plans to attack a U.S. military facility. These interactions provided the evidence needed for their arrest.","The undercover FBI informant played a role in the arrest by sending a Facebook friend request to Hasan Edmonds, posing as an ISIS fighter. This led to private messages between the informant and Hasan Edmonds, where they discussed their willingness to travel overseas and fight for ISIS. The informant provided information to the authorities, which ultimately led to the arrest of Hasan Edmonds and his cousin.",0.8642677854018366,1.0,0.8171146415003877,0.9999999999833333
How does the new Red brand aim to leverage Radisson's brand awareness?,"['which is hueing (sic) toward Red and Blu. Blu came about in 2009, after airline SAS withdrew from a partnership with Radisson. After the split, Radisson SAS, a collection of European design hotels, needed a new name. ""We wanted to replace SAS with an equally short name,"" says Rose Anderson, vice president of branding for the Carlson Rezidor Hotel Group. ""We liked using blue from the old SAS logo, because it brought in the heritage of the former brand. ""At the same time, we were looking for a'
 'because it brought in the heritage of the former brand. ""At the same time, we were looking for a word with positive worldwide connotations ... and blue is the world\'s favorite color."" So blue or bleu became Blu, a trademarkable spelling. Carlson Rezidor recently announced a new Red brand that will, according to Anderson, ""build on the Blu concept and further leverage Radisson\'s brand awareness."" New brands are also being dubbed with what may seem to be random nouns. But there\'s nothing random'
 'Design, a branding firm brought in to hone the name and the image. Hence Vib, which is derived from ""vibrant."" Color also plays a big part in hotel branding. ""We incorporated a bright persimmon red in the design and the logo, in order to reflect the (Vib) brand\'s bold personality,"" says Lew. Moxy, the new Marriott partnership with IKEA, is going after ""a sassy, determined, individualistic consumer,"" according to Marriott\'s Von Ertfelda. The first Moxy opened at Milan\'s Malpensa Airport in'
 'had to be \'ownable and trademarkable.\'"" The change of spelling from moxie to Moxy achieved that. According to Von Ertfelda, senior creative director Maria Rezende-Heiston selected hot pink for the Moxy logo to ""appeal to those who aren\'t afraid to express themselves"" while using a ""curved font to convey a sense of rhythm, fluidity and independence."" Color is also key to hotel operator Carlson Rezidor, which is hueing (sic) toward Red and Blu. Blu came about in 2009, after airline SAS withdrew'
 'Whenever"" tagline to the simple W logo. Cornell\'s Dev says Starwood further imbued the brand with meaning by using words like witty, warm and welcoming in its advertising and marketing material. More than 15 years later, the W Hotel brand has more than 70 properties open or in development worldwide. Journalist Laura Powell started covering the travel industry for CNN in the 1980s. Her focus is on  international travel news and trends. Read more of her work at www.dailysuitcase.com. Twitter:'
 ""New brands are also being dubbed with what may seem to be random nouns. But there's nothing random about them. Last year, InterContinental Hotels Group (IHG) rolled out EVEN, a new brand cultivated for the growing wellness-minded audience, with two properties in the United States. EVEN expresses the desire for the balance travelers are seeking, says an IHG spokesperson. In its logo, specific colors were chosen to represent elements of nature. The four vertical bars of the logo are off-kilter,""]",The new Red brand aims to leverage Radisson's brand awareness by building on the Blu concept. This strategy involves using the established recognition and positive associations of the Radisson brand to promote and develop the new Red brand.,The new Red brand aims to leverage Radisson's brand awareness by building on the Blu concept and further leveraging Radisson's brand awareness.,0.620598403507282,1.0,0.9671918769600705,0.91666666664375
When are the peak blooms expected during the National Cherry Blossom Festival in Washington?,"[""Washington (CNN)There should be plenty of pent-up anticipation among cherry blossom fans in Washington this spring. Peak blooms are expected at the tail end of the three-week-long National Cherry Blossom Festival, which kicks off Friday and runs through April 12. The fluttering pink and white blossoms are expected to hit their peak between April 11 and April 14. Here are five things to know about the eagerly awaited D.C. blossoms: . The city's first cherry trees were destroyed . In 1910, 2,000""
 ""in 1934 and a 1927 re-enactment of the original planting of the trees by a group of Washington school children. It's not all about cherry trees . That's right, there's a Blossom Kite Festival right in the middle of the cherry blossom festivities on March 28th. The festival consists of a hot tricks showdown, learning how to make and fly kites, and there's even a kite doctor on site to repair broken kites. Two types of trees dominate . In the 1912 gift of trees to Washington, there were 12""
 'Herron Taft planted one of the first of more than 3,000 replacement trees sent from Japan. Winter\'s almost over: See the proof . The festival was launched more than 20 years later . It wasn\'t until 1935 that civic groups and the D.C. government came together to hold the first ""Cherry Blossom Festival."" That first official festival came after smaller commemorations including a three-day celebration in 1934 and a 1927 re-enactment of the original planting of the trees by a group of Washington'
 ""the eagerly awaited D.C. blossoms: . The city's first cherry trees were destroyed . In 1910, 2,000 cherry trees arrived in Washington, thanks to a gift from the city of Tokyo and the advocacy of Eliza Ruhamah Scidmore, one of the first female board members of the National Geographic Society. These trees, however, were riddled with disease and were destroyed. Two years later, first lady Helen Herron Taft planted one of the first of more than 3,000 replacement trees sent from Japan. Winter's""
 ""broken kites. Two types of trees dominate . In the 1912 gift of trees to Washington, there were 12 different varieties. Today, two varieties are dominant -- Yoshino and Kwanzan. Kwanzan trees are usually found in the East Potomac Park area and produce pink blossoms. The Yoshino, which produce white blossoms, are closer to the northern part of the Tidal Basin near the Washington Monument. Descendants of the original trees live in Japan . In 2011, about 120 trees propagated from D.C.'s surviving""]",The peak blooms are expected between April 11 and April 14 during the National Cherry Blossom Festival in Washington.,The peak blooms are expected between April 11 and April 14.,0.7363000604071277,1.0,1.0,0.99999999995
What is Zhanna Nemtsova's opinion on the Russian investigation into her father's assassination?,"['Moscow (CNN)Russia\'s president shares ""political responsibility"" for the assassination of opposition leader Boris Nemtsov, the late politician\'s daughter said Friday in her first TV interview since his death in central Moscow last week. Zhanna Nemtsova, who said she has no faith in the Russian investigation into the killing, said she believes his death will only deter other opposition voices, rather than embolden them. ""I cannot blame him (Putin) directly, (but) I would say that our authorities,'
 'Nemtsov had also been arrested several times for speaking against the government. In her first TV interview since her father\'s death, Nemtsova told CNN that Putin shares ""political responsibility"" for her father\'s assassination. She spoke from Germany. ""I don\'t believe in the official investigation,"" she said Saturday. Other opposition figures previously jailed or killed include Anna Politkovskaya, a journalist critical of Russia\'s war in Chechnya. She was gunned down at the entrance to her'
 'but many Nemtsov supporters suspect Putin\'s administration of involvement. How Boris Nemtsov\'s murder serves notice to Vladimir Putin\'s enemies . Putin this week called the killing a ""disgrace"" and a tragedy, and he promised to bring those responsible to justice. But Nemtsova, 30, said she does not believe that will happen. She said investigators have not contacted her and she knows nothing of the case except what is in the media. ""I don\'t know where his cellphone and his personal belongings'
 ""were convicted of killing journalist Anna Politkovskaya, for example, but there still is no explanation of why they did it or who organized the murder. Now, with Nemtsov's killing, Russian officials and Kremlin-friendly media have whipped up a sandstorm of theories, confounding the most intrepid attempts at establishing the truth. Will things play out any differently this time?""
 ""history. So what can be done? Firstly, create, without any delay, an independent international inquiry into Nemtsov's assassination. No investigation conducted solely by the Russian government would be credible under the circumstances, because it cannot impartially examine the possible complicity of Putin or the Russian secret service in this act. There are statutory instruments in place for this kind of investigation, using the OSCE, the Council of Europe, and the United Nations. Secondly,""
 'the case except what is in the media. ""I don\'t know where his cellphone and his personal belongings are, so I know only those things which are released or published in the press and nothing else, nothing else,"" she told CNN from Germany, where she is staying for a few days. ""As I have already said, I don\'t have any faith in this investigation."" Nemtsova said she loved her father ""more than anyone else in my life"" and that the two were very close. ""I think that he died a hero,"" she said. ""He was'
 'said Yevhen Perebyinis, a spokesman for Ukraine\'s Foreign Ministry. Inna Duritskaya told CNN that while being questioned, her daughter faced constant psychological pressure from Moscow authorities and that she fears she will be implicated in his death. In a Skype interview with Dozhd, Anna Duritskaya indicated her continued presence in Moscow after the shooting was not from choice -- and seemed to appeal to be allowed to leave. ""Now I have a status of a witness, I gave all evidence possible, I']",Zhanna Nemtsova has no faith in the Russian investigation into her father's assassination. She believes it will not be credible and suspects that it will not bring those responsible to justice. She has stated that she only knows what is released or published in the press and has not been contacted by investigators.,Zhanna Nemtsova said she has no faith in the Russian investigation into the killing.,0.4855289693112898,0.8,0.9923968175838617,0.9999999999857143
Who was one of Putin's harshest critics?,"['be heading an opposition party and do what I\'m doing."" Opinion: The complicated life and tragic death of Boris Nemtsov . Critics of Putin have in the past suffered miserable fates. Last year, a Moscow court sentenced five men to prison for the 2006 killing of Russian journalist and fierce Kremlin critic Anna Politkovskaya. Business magnate Mikhail Khodorkovsky accused Putin of corruption and spent 10 years in prison and labor camps. Late last year, Kremlin critic Alexey Navalny was found guilty'
 ""look at some cases of outspoken critics of Putin's government who've ended up in exile, under house arrest, behind bars or dead. The business magnate backed an opposition party and accused Putin of corruption. He spent more than 10 years behind bars on charges of tax evasion and fraud. In statements to CNN, Khodorkovsky said his prosecution was part of a Kremlin campaign to destroy him and take control of Yukos, the oil company he built from privatization deals in the 1990s. The Kremlin denied""
 'he said then. After Nemtsov was shot, Putin condemned the killing and ordered three law enforcement agencies to investigate the shooting, the Kremlin said in a statement. But critics of Putin have in the past suffered miserable fates. Last year, a Moscow court sentenced five men to prison for the 2006 killing of Russian journalist and fierce Kremlin critic Anna Politkovskaya. Business magnate Mikhail Khodorkovsky accused Putin of corruption and spent 10 years in prison and labor camps. Russian'
 ""a journalist critical of Russia's war in Chechnya. She was gunned down at the entrance to her Moscow apartment in 2006. There was also business magnate Mikhail Khodorkovsky, who backed an opposition party and accused Putin of corruption. Khodorkovsky landed in jail after a conviction on tax fraud, which he said was a ploy to take away his oil company. The government rejected the claim. Putin pardoned him in 2013. Former Russian security agent Alexander Litvinenko was poisoned by a lethal dose""
 'at the Kremlin\'s current policies on Ukraine. Other prominent Russian figures at the service included Deputy Prime Minister Arkady Dvorkovich, Prime Minister Dmitry Medvedev\'s spokeswoman Natalya Timakova, and former Finance Minister Alexey Kudrin. Russian economist Yevgeny Yasin, who served as economy minister between 1994 and 1997 and is now an academic, said: ""Nemtsov always said everything that others were afraid to say."" Evgeniya Albats, editor-in-chief of The New Times magazine, described'
 ""out, in damning detail, the truth behind the personal wealth of Putin and his cronies; one doesn't need to be an expert to see the similarities with former Ukrainian President Viktor Yanukovych, who fled Kiev following popular uprisings in February of last year. Nemtsov was also preparing a paper documenting the experiences of Russian soldiers in Ukraine -- one that could have dealt a catastrophic blow to the Russian propaganda machine about the Ukrainian conflict. And he was instrumental in""
 '""Due to the policy of Vladimir Putin, a country with unparalleled potential is sinking, an economy which accumulated untold currency reserves is collapsing,"" he said. The former deputy prime minister accused Putin of using ""Goebbels-style propaganda"" -- a reference to Joseph Goebbels, Nazi Germany\'s propaganda minister -- to brainwash his countrymen. Nemtsov was scheduled to lead an opposition rally in Moscow last Sunday. But two days before the event, he was shot dead as he walked home from'
 ""(CNN)Slain Russian opposition leader Boris Nemtsov isn't the first critic of President Vladimir Putin to turn up dead. Some Putin opponents claim it isn't a coincidence that critics of the powerful leader and his government have been killed or landed behind bars. But the Kremlin has staunchly denied accusations that it's targeting political opponents or had anything to do with the deaths. Here's a look at some cases of outspoken critics of Putin's government who've ended up in exile, under house""
 'results of parliamentary elections and in 2012 when tens of thousands protested against Putin. In an interview with CNN\'s Anthony Bourdain last year, Nemtsov spoke of the deaths of other Kremlin critics, but said his fame offered some protection. ""I\'m a well-known guy, and this is a safety because if something happens with me, it will be scandal not only in Moscow city but throughout the world,"" he said then. After Nemtsov was shot, Putin condemned the killing and ordered three law enforcement']",One of Putin's harshest critics was Boris Nemtsov.,Boris Nemtsov,0.22962419743133142,1.0,1.0000000000000002,0.7393424036175558
